time,SRB,BIH,MNE
2020-01-01 00:00:00,1.702352446109973,0.5924566883701968,0.4387792570694385
2020-01-01 01:00:00,1.4946206686271,0.7577012696371491,0.48273788596649764
2020-01-01 02:00:00,1.2658958776437819,0.9152432814873097,0.4270630547172524
2020-01-01 03:00:00,1.1550043851176022,0.8614078999118995,0.3971852587341619
2020-01-01 04:00:00,1.1027788684957294,1.118381042020764,0.5002655969624288
2020-01-01 05:00:00,0.8867686789052588,1.3594863887397075,0.5966122125536006
2020-01-01 06:00:00,0.7160631176796587,1.1871859825245312,0.6364982112799251
2020-01-01 07:00:00,0.6181258996961732,1.121913449524791,0.6540137309830191
2020-01-01 08:00:00,0.5450111623448011,0.9139113566446836,0.5189272261160508
2020-01-01 09:00:00,0.470942801643229,0.8689936554682414,0.5056143231312006
2020-01-01 10:00:00,0.31857259057251264,0.8570230697890854,0.480302744365933
2020-01-01 11:00:00,0.48018519583328734,0.8054548721101382,0.42541704899188415
2020-01-01 12:00:00,0.5765302082667726,0.789801732812515,0.32200827710607194
2020-01-01 13:00:00,0.655731376144452,0.8038472378929028,0.3219767054243005
2020-01-01 14:00:00,0.5226525340025763,0.8146602575793533,0.32865967535891305
2020-01-01 15:00:00,0.4908841093546765,0.9931386932711801,0.3839015203045901
2020-01-01 16:00:00,0.48259622799385443,1.026540785014719,0.4713465448411423
2020-01-01 17:00:00,0.4191775605144481,1.0738350667781982,0.5240450063168456
2020-01-01 18:00:00,0.3682848756118755,1.0415499591346977,0.6041022508020497
2020-01-01 19:00:00,0.28925020625368814,0.9700048087176107,0.5977158992299954
2020-01-01 20:00:00,0.19559830736899542,0.8997992477695843,0.5848493767800123
2020-01-01 21:00:00,0.1262696507015982,0.8616165947856206,0.5644923374015124
2020-01-01 22:00:00,0.1371515902586084,0.9511161117239657,0.5404744657104372
2020-01-01 23:00:00,0.15367055877003372,0.9389304955972607,0.4973369735608117
2020-01-02 00:00:00,0.10378678954965928,0.8324276535614786,0.48590234644924124
2020-01-02 01:00:00,0.06204760886767511,0.6695121184635675,0.4712669311499937
2020-01-02 02:00:00,0.04950579003476213,0.6559584253605628,0.4201412750527848
2020-01-02 03:00:00,0.07949649629687626,0.6793547128627783,0.4321414831168893
2020-01-02 04:00:00,0.13137230537884542,0.7491294059626301,0.5302261069758871
2020-01-02 05:00:00,0.10870788141680732,0.7952258168105008,0.5712320741108493
2020-01-02 06:00:00,0.10365510273502351,0.7035550491676906,0.46335582106785955
2020-01-02 07:00:00,0.1058452281760338,0.5376403217202181,0.38684844816186
2020-01-02 08:00:00,0.06997117773962147,0.41203513360794625,0.2543875981578309
2020-01-02 09:00:00,0.0866717913356958,0.07916743707037063,0.09958539016400712
2020-01-02 10:00:00,0.10815712802103972,0.0,0.11115000013765607
2020-01-02 11:00:00,0.10416241578982006,0.0,0.06900514885739131
2020-01-02 12:00:00,0.10404857018928813,0.0,0.03572672509082081
2020-01-02 13:00:00,0.09878941893564544,0.0,0.039432717311331585
2020-01-02 14:00:00,0.09390400586322002,0.0,0.03716477921352241
2020-01-02 15:00:00,0.09561059201925699,0.0,0.06913354211106229
2020-01-02 16:00:00,0.09184470702819908,0.0014806957874041202,0.09605683878967253
2020-01-02 17:00:00,0.07654935217170408,0.0,0.09372093976441165
2020-01-02 18:00:00,0.0690634887687205,0.0,0.11501822379651938
2020-01-02 19:00:00,0.059917637712634,0.0,0.09610571065436338
2020-01-02 20:00:00,0.039065419773143796,0.0,0.09369256758657363
2020-01-02 21:00:00,0.028879719772900707,0.0,0.07873204005230139
2020-01-02 22:00:00,0.04096553143226431,0.01906091229330618,0.2139434320645916
2020-01-02 23:00:00,0.023564174768847652,0.018580343522499963,0.18975544347027265
2020-01-03 00:00:00,0.02543107679770358,0.0,0.12358731585563314
2020-01-03 01:00:00,0.026529909978931666,0.0,0.08010587722716553
2020-01-03 02:00:00,0.036437004753419544,0.0,0.07134329321307296
2020-01-03 03:00:00,0.05555720577082768,0.00011795857124621142,0.06542933512549524
2020-01-03 04:00:00,0.10069058327465087,0.002419133730768421,0.05918705126695265
2020-01-03 05:00:00,0.11575233375908146,0.006593696480081215,0.024546279909022174
2020-01-03 06:00:00,0.11445696747151922,0.00618987962385003,0.02281421697882905
2020-01-03 07:00:00,0.07726398368260899,0.0031269460908623153,0.0
2020-01-03 08:00:00,0.031341092370778985,0.0012327154093250273,0.0
2020-01-03 09:00:00,0.0033394535608160096,0.0,0.0
2020-01-03 10:00:00,0.010486608045573843,0.0,0.0
2020-01-03 11:00:00,0.0038062062073798506,0.0,0.0
2020-01-03 12:00:00,0.003164243657571865,0.0,0.0
2020-01-03 13:00:00,0.00869001826546403,0.0,0.0
2020-01-03 14:00:00,0.02139892409880115,0.0,0.0
2020-01-03 15:00:00,0.05592716464475464,0.0,0.0
2020-01-03 16:00:00,0.06940025442221943,0.0,0.0
2020-01-03 17:00:00,0.07250882501660104,0.00017494877567693525,0.0
2020-01-03 18:00:00,0.08107247122663978,0.00020248834298042836,0.0
2020-01-03 19:00:00,0.08584818619314324,0.00016024290297316673,0.0
2020-01-03 20:00:00,0.08339953717342197,0.0,0.0
2020-01-03 21:00:00,0.08602005687489794,0.0,0.0
2020-01-03 22:00:00,0.10561688719576784,0.0,0.0
2020-01-03 23:00:00,0.10293479853224541,0.0,0.0
2020-01-04 00:00:00,0.09969923472313225,0.0,0.0
2020-01-04 01:00:00,0.10260813632894975,0.0,0.0
2020-01-04 02:00:00,0.12553614829874746,0.0,0.0
2020-01-04 03:00:00,0.15739796766551253,0.0,0.0
